scenario,round,client_id,loss,accuracy,precision,recall,f1
Non-IID,22,2,0.9169902420043945,0.7,0.6355311355311356,0.7,0.6303505038058814
Non-IID,23,18,0.443766770362854,0.89,0.9045598845598846,0.89,0.8875799346851979
Non-IID,23,8,0.443766770362854,0.89,0.9045598845598846,0.89,0.8875799346851979
Non-IID,24,9,0.49336704254150393,0.85,0.9003174603174603,0.85,0.8432283505967716
Non-IID,24,8,0.49336704254150393,0.85,0.9003174603174603,0.85,0.8432283505967716
Non-IID,25,17,0.46150224685668945,0.81,0.8630681818181818,0.8099999999999999,0.7990478252397757
Non-IID,25,2,0.46150224685668945,0.81,0.8630681818181818,0.8099999999999999,0.7990478252397757
Non-IID,26,10,0.404173219203949,0.88,0.9015800865800866,0.8800000000000001,0.8755313417232922
Non-IID,26,8,0.404173219203949,0.88,0.9015800865800866,0.8800000000000001,0.8755313417232922
Non-IID,27,11,0.5155858635902405,0.8,0.8603521040363147,0.8,0.7709484765477822
Non-IID,27,1,0.5155858635902405,0.8,0.8603521040363147,0.8,0.7709484765477822
Non-IID,28,14,0.31767672061920166,0.91,0.9318181818181819,0.9100000000000001,0.9114909376828881
Non-IID,28,16,0.31767672061920166,0.91,0.9318181818181819,0.9100000000000001,0.9114909376828881
Non-IID,29,11,0.6024694633483887,0.82,0.780963480963481,0.82,0.784230097836236
Non-IID,29,0,0.6024694633483887,0.82,0.780963480963481,0.82,0.784230097836236
Non-IID,30,2,0.5097271561622619,0.8,0.893560606060606,0.8,0.7803582038876157
Non-IID,30,19,0.5097271561622619,0.8,0.893560606060606,0.8,0.7803582038876157
Non-IID,31,19,0.17347002029418945,0.97,0.9733333333333334,0.97,0.9703827751196172
Non-IID,31,1,0.17347002029418945,0.97,0.9733333333333334,0.97,0.9703827751196172
Non-IID,32,3,0.28867091655731203,0.94,0.9466666666666667,0.9400000000000001,0.940180754917597
Non-IID,32,19,0.28867091655731203,0.94,0.9466666666666667,0.9400000000000001,0.940180754917597
Non-IID,33,9,0.31320628881454465,0.92,0.9356709956709957,0.9200000000000002,0.9201960337564052
Non-IID,33,5,0.31320628881454465,0.92,0.9356709956709957,0.9200000000000002,0.9201960337564052
Non-IID,34,13,0.24746612310409546,0.94,0.9476301476301476,0.9400000000000001,0.9387330218128442
Non-IID,34,4,0.24746612310409546,0.94,0.9476301476301476,0.9400000000000001,0.9387330218128442
Non-IID,35,11,0.5375500965118408,0.85,0.8025199362041467,0.85,0.8158071880789933
Non-IID,35,6,0.5375500965118408,0.85,0.8025199362041467,0.85,0.8158071880789933
Non-IID,36,6,0.46330623626708983,0.85,0.900595238095238,0.85,0.8412778174697679
Non-IID,36,19,0.46330623626708983,0.85,0.900595238095238,0.85,0.8412778174697679
Non-IID,37,6,0.4256227731704712,0.88,0.9150183150183151,0.8800000000000001,0.8740993788819876
Non-IID,37,18,0.4256227731704712,0.88,0.9150183150183151,0.8800000000000001,0.8740993788819876
Non-IID,38,11,0.5253584194183349,0.81,0.8841823810864058,0.8099999999999999,0.7962141944900565
Non-IID,38,8,0.5253584194183349,0.81,0.8841823810864058,0.8099999999999999,0.7962141944900565
Non-IID,39,19,0.3605258452892304,0.87,0.8982350982350983,0.8699999999999999,0.8490735965698949
Non-IID,39,2,0.3605258452892304,0.87,0.8982350982350983,0.8699999999999999,0.8490735965698949
Non-IID,40,11,0.2204623728990555,0.89,0.9154512154512154,0.89,0.8860122046183427
Non-IID,40,6,0.2204623728990555,0.89,0.9154512154512154,0.89,0.8860122046183427
Non-IID,41,14,0.1983500277996063,0.96,0.9666666666666668,0.96,0.9589079650999155
Non-IID,41,12,0.1983500277996063,0.96,0.9666666666666668,0.96,0.9589079650999155
Non-IID,42,10,0.18979843735694885,0.95,0.9602564102564104,0.95,0.9476024547534845
Non-IID,42,11,0.18979843735694885,0.95,0.9602564102564104,0.95,0.9476024547534845
Non-IID,43,17,0.2381120204925537,0.9,0.9183982683982684,0.9,0.894189350381301
Non-IID,43,1,0.2381120204925537,0.9,0.9183982683982684,0.9,0.894189350381301
Non-IID,44,11,0.2000174981355667,0.98,0.9833333333333334,0.9800000000000001,0.9803827751196172
Non-IID,44,17,0.2000174981355667,0.98,0.9833333333333334,0.9800000000000001,0.9803827751196172
